# #J-Name	obs_time(min)	S/N(B3)	S/N(B5))
J0030+0451	15	398.44	42.01
J0034-0534	15	577.05	22.27
J0437-4715	17	68650.76	25401.95
J0613-0200	32	327.01	195.40
J0740+6620	15	1380.93	93.88
J0751+1807	32	415.90	232.61
J0900-3144	15	819.19	273.22
J1012+5307	22	1576.21	268.35
J1022+1001	22	7080.39	616.88
J1125+7819	15	863.35	84.65
J1600-3053	40	593.76	592.06
J1643-1224	40	2617.17	721.41
J1713+0747	45	502.97	2356.93
J1730-2304	15	1269.09	266.69
J1744-1134	40	1772.76	682.88
J1857+0943	30	798.41	412.02
J1909-3744	50	1675.39	929.81
J1939+2134	15	 nan	1899.18
J1944+0907	15	687.03	168.48
J2124-3358	50	1635.63	597.57
J2145-0750	40	8565.14	2891.30
J2302+4442	15	609.21	134.36
